building_id,xml_filename,should_run_simulation,OccupancyClassification,FloorArea,YearOfConstruction,YearOfLastMajorRemodel
standaloneretail_1,standaloneretail_1.xml,1,Retail,24683,1966,1977
standaloneretail_2,standaloneretail_2.xml,1,Retail,24683,1966,1978
standaloneretail_3,standaloneretail_3.xml,1,Retail,24683,1966,1992
standaloneretail_4,standaloneretail_4.xml,1,Retail,24683,1966,2001
standaloneretail_5,standaloneretail_5.xml,1,Retail,24683,1966,2005
standaloneretail_6,standaloneretail_6.xml,1,Retail,24683,1966,2008
smalloffice_1,smalloffice_1.xml,1,Office,5500,1966,1977
smalloffice_2,smalloffice_2.xml,1,Office,5500,1966,1978
smalloffice_3,smalloffice_3.xml,1,Office,5500,1966,1992
smalloffice_4,smalloffice_4.xml,1,Office,5500,1966,2001
smalloffice_5,smalloffice_5.xml,1,Office,5500,1966,2005
smalloffice_6,smalloffice_6.xml,1,Office,5500,1966,2008
mediumoffice_1,mediumoffice_1.xml,1,Office,53608,1966,1977
mediumoffice_2,mediumoffice_2.xml,1,Office,53608,1966,1978
mediumoffice_3,mediumoffice_3.xml,1,Office,53608,1966,1992
mediumoffice_4,mediumoffice_4.xml,1,Office,53608,1966,2001
mediumoffice_5,mediumoffice_5.xml,1,Office,53608,1966,2005
mediumoffice_6,mediumoffice_6.xml,1,Office,53608,1966,2008
